epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1098.96,1.34069,1.56091,1.66833,0.45999,0.53846,0.50852,0.22644,2.08179,2.15814,2.51587,0.0001585,0.0001585,0.0001585
70,1114.3,1.30119,1.5222,1.63121,0.76472,0.44964,0.55932,0.23741,2.06437,2.10224,2.50952,0.000146125,0.000146125,0.000146125
71,1131.16,1.33917,1.4456,1.77129,0.57174,0.49922,0.52811,0.23812,2.01254,2.11729,2.47925,0.00013375,0.00013375,0.00013375
72,1146.1,1.30026,1.27429,1.75267,0.59115,0.47397,0.51295,0.21719,2.03145,2.07526,2.46709,0.000121375,0.000121375,0.000121375
73,1161.13,1.23572,1.17273,1.69228,0.55228,0.4806,0.5207,0.23426,1.99761,2.02837,2.45965,0.000109,0.000109,0.000109
74,1176.63,1.21723,1.11455,1.66516,0.59031,0.49834,0.54009,0.24577,1.98362,2.00589,2.47527,9.6625e-05,9.6625e-05,9.6625e-05
75,1191.8,1.23399,1.11338,1.67564,0.56533,0.51479,0.5382,0.24134,2.0079,2.07544,2.48244,8.425e-05,8.425e-05,8.425e-05
76,1207.29,1.22304,1.08711,1.68154,0.69118,0.48999,0.54757,0.24204,2.0376,2.10245,2.48782,7.1875e-05,7.1875e-05,7.1875e-05
77,1222.94,1.17921,1.03851,1.6144,0.69539,0.53073,0.56482,0.25029,2.05099,2.04716,2.51041,5.95e-05,5.95e-05,5.95e-05
78,1238.05,1.16929,1.02643,1.61367,0.68675,0.51777,0.55741,0.25908,2.02205,2.06964,2.4782,4.7125e-05,4.7125e-05,4.7125e-05
79,1253.15,1.15346,1.00044,1.59934,0.77352,0.44242,0.54937,0.24964,2.02577,2.00671,2.50682,3.475e-05,3.475e-05,3.475e-05
80,1268.63,1.14443,0.99671,1.58745,0.73503,0.49559,0.54381,0.25611,2.00261,2.01427,2.46655,2.2375e-05,2.2375e-05,2.2375e-05
